Block,Timestamp,Amount,From,To
11918903,2022-09-05T18:18:18+00:00,1.0040431184,16R29N4UR8UZbiaNTHiwrUYwEb3RGmo9XCgVk7nzu8LEJ3D7,1BAitQj5xequxDyKaB1tqQ3D1k3vdSUM3geGfbSDnv87pX1
11918743,2022-09-05T18:02:12+00:00,71998.91,16R29N4UR8UZbiaNTHiwrUYwEb3RGmo9XCgVk7nzu8LEJ3D7,12k6zoi7L6Jd2oCVek7Zktj8CHY2yoY6nxZThDZK7mdWP6Sr
11918616,2022-09-05T17:49:24+00:00,50000.0,16RfADA9iFGjL8LiSbv5Gsk4aiuseburydVWySe1i5QhQUFh,16R29N4UR8UZbiaNTHiwrUYwEb3RGmo9XCgVk7nzu8LEJ3D7
11918587,2022-09-05T17:46:30+00:00,21999.95,12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW,16R29N4UR8UZbiaNTHiwrUYwEb3RGmo9XCgVk7nzu8LEJ3D7
11918582,2022-09-05T17:46:00+00:00,1.0042431184,16R29N4UR8UZbiaNTHiwrUYwEb3RGmo9XCgVk7nzu8LEJ3D7,12k6zoi7L6Jd2oCVek7Zktj8CHY2yoY6nxZThDZK7mdWP6Sr
11918425,2022-09-05T17:30:12+00:00,3.91,16R29N4UR8UZbiaNTHiwrUYwEb3RGmo9XCgVk7nzu8LEJ3D7,12k6zoi7L6Jd2oCVek7Zktj8CHY2yoY6nxZThDZK7mdWP6Sr
11918392,2022-09-05T17:26:54+00:00,4.95,12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW,16R29N4UR8UZbiaNTHiwrUYwEb3RGmo9XCgVk7nzu8LEJ3D7
11870688,2022-09-02T09:13:00+00:00,1.0040431184,16R29N4UR8UZbiaNTHiwrUYwEb3RGmo9XCgVk7nzu8LEJ3D7,163egH5dubAAwbYQQ6wH3jhe8J5YV3wAiEExAvu67BAXmxyx
11870534,2022-09-02T08:57:18+00:00,29998.96,16R29N4UR8UZbiaNTHiwrUYwEb3RGmo9XCgVk7nzu8LEJ3D7,1BAitQj5xequxDyKaB1tqQ3D1k3vdSUM3geGfbSDnv87pX1
11870501,2022-09-02T08:54:00+00:00,30000.0,12xKCGbw56Bq8V4tdHT7QUabaWeUh8d935t81mPkjrWPi3ff,16R29N4UR8UZbiaNTHiwrUYwEb3RGmo9XCgVk7nzu8LEJ3D7
